CARDINALITY,TIME TAKEN,MODE,GUESS COUNT, MINES ATTACKED COUNT, SOLUTION FOUND, NO SOLUTION FOUND, AMBIGUOUS SOLUTION FOUND
10,624,NAIIVE,3,0,13,0,33
20,2266,NAIIVE,196,132,17,193,37
30,1702,NAIIVE,329,226,158,326,55
50,24366,NAIIVE,1639,1214,251,1636,66
10,94,MEDIUM,1694,1241,263,1691,66
10,561,NAIIVE,28,9,13,28,0
20,2040,NAIIVE,183,126,27,183,2
30,3318,NAIIVE,542,396,116,539,38
50,30283,NAIIVE,2124,1671,147,2121,38
10,78,MEDIUM,2187,1714,160,2183,58
20,1327,MEDIUM,2481,1904,179,2474,145
30,6202,MEDIUM,3611,2798,188,3604,150
50,87496,MEDIUM,6938,5410,208,6927,230
10,453,NAIIVE,0,0,18,0,0
20,1485,NAIIVE,35,18,83,32,30
30,3376,NAIIVE,405,293,158,402,44
50,32275,NAIIVE,2178,1830,174,2175,46
10,93,MEDIUM,2286,1916,177,2283,50
20,750,MEDIUM,2634,2163,206,2630,61
30,4849,MEDIUM,3414,2683,209,3410,65
50,78541,MEDIUM,6241,4851,246,6236,80
10,86,EXPERT,6293,4886,281,6285,93
5,311,NAIIVE,2,0,6,0,14
10,125,NAIIVE,14,7,19,12,21
15,360,NAIIVE,87,51,32,84,47
20,514,NAIIVE,241,163,49,238,47
25,532,NAIIVE,353,239,121,350,54
5,36,MEDIUM,353,239,127,350,54
10,66,MEDIUM,413,277,145,408,63
15,177,MEDIUM,514,334,169,509,71
5,205,NAIIVE,0,0,5,0,0
10,109,NAIIVE,16,9,7,16,7
15,250,NAIIVE,90,54,25,90,7
20,307,NAIIVE,151,93,79,151,14
25,13999,NAIIVE,331,211,145,324,222
5,36,MEDIUM,337,213,151,330,222
5,219,NAIIVE,1,0,5,0,6
10,125,NAIIVE,36,21,14,35,8
15,223,NAIIVE,87,48,35,86,15
5,281,NAIIVE,2,1,4,0,12
10,116,NAIIVE,12,2,29,10,12
15,353,NAIIVE,121,83,61,118,18
20,301,NAIIVE,189,116,100,185,26
25,1144,NAIIVE,427,295,128,419,109
5,39,MEDIUM,441,300,134,433,117
10,96,MEDIUM,496,337,150,488,122
15,346,MEDIUM,665,431,153,657,126
5,265,NAIIVE,0,0,4,0,0
10,63,NAIIVE,1,0,24,0,3
15,280,NAIIVE,60,42,54,59,3
20,345,NAIIVE,129,82,112,128,7
25,1095,NAIIVE,402,277,136,401,7
